Stage output, depth (m).

Stage information (stage,x,y,elev):
1 4.515000 1.197000 0.123591
2 4.515000 1.701000 0.132484
3 4.515000 2.191000 0.130107

Output, depths:
Time; stages 1 to 3
21.102549 0.034090 0.012049 0.019930
21.201359 0.033268 0.011148 0.019658
21.300322 0.033661 0.013951 0.019929
21.402122 0.034084 0.017887 0.020289
21.501221 0.033372 0.020433 0.020964
21.600311 0.032053 0.021008 0.020527
21.702370 0.030666 0.020642 0.021686
21.802528 0.029959 0.021014 0.021046
21.901693 0.029085 0.020232 0.021581
22.000401 0.028199 0.019401 0.020806
22.100077 0.027387 0.018485 0.020364
22.200310 0.026493 0.017683 0.019692
22.301161 0.025653 0.016908 0.018762
22.402269 0.024893 0.016076 0.017925
22.500000 0.024236 0.015487 0.017394
